,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOU Adjustment,High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5),High (MRW S4 x1.5)
,Workplace Charger Availability,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid
,EV Charging Flexibility,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
,Allow Flexible Loads?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2030 RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS,no RPS
,GHG Target,Default,Medium,Large,Very Large,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large,Very Large
,Environmental Screen for Resource Potential,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV,DRECP/SJV
,Banking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Out-Of-State Renewable Filter,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only,Existing Tx Only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Prices,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid
,Carbon Prices,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
,Solar,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,Mid,Low,Mid,Mid,Mid
,Lithium Ion Batteries,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid
,Flow Batteries,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid
,"Enable ITC/PTC (if not enabled, will expire early)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,Discount Rate,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,Financing Years Post Final Year,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Simultaneous Flow Limits,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,High,Mid,Mid,Mid,Mid,Mid,Mid
,2030 Load Following Reserves,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar,50% High Solar
,Max. Fraction of Load Following Down met by Renewables,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Sensitivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Capacity Needs,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
,Coal Flexibility,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable,Dispatchable
,Storage Mandate Case,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
,Allow Pumped Storage Build,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
