,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAISO Resources,64.0,,,CAISO Technologies,21.0,,,,,,,,37.0,,,,,Final Year,2030.0,,,,,,,,,,,,,,,Toggles,,,,,,,,,,,,,,,,,,,,,,,
10.0,CAISO_ST,CAISO_ST,10.0,,10.0,CAISO_ST,,Westlands_Solar,,,,,149.0,10.0,3.9020430363292595,5.0,2011.0,,2024.0,0.0,0.0,0.0,0.0,0.6446089162177973,2022.0,2026.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,Solar PV,Fixed Tilt - 20MW+,Solar PVFixed Tilt - 20MW+,Solar,,,LADWP,LDWP,,,,,,,,,
11.0,CAISO_Shed_DR_Existing,CAISO_Conventional_DR,11.0,,11.0,CAISO_Conventional_DR,,Greater_Carrizo_Solar,,,,,153.0,11.0,9.227664817968042,6.0,2011.0,,2025.0,0.0,0.0,0.0,0.0,0.6139132535407593,2022.0,2026.0,0.25,0.75,,,,0.0,0.0,,,,,,,,,Solar PV,Tracking - 20MW+,Solar PVTracking - 20MW+,Solar,,,PACE,NW,,,,,,,,,
12.0,CAISO_Shed_DR_Tranche1,CAISO_Conventional_DR,0.0,,12.0,Pumped_Hydro,,Tehachapi_Solar,,,,,167.0,12.0,1.6312987774977246,6.0,2011.0,,2026.0,1.0,3.0,0.0,0.0,0.5846792890864374,2026.0,2030.0,1.0,0.0,,,,0.0,0.0,,,,,,,,,Solar PV,Rooftop,Solar PVRooftop,Solar,,,PNM,SW,,,,,,,,,
13.0,CAISO_Shed_DR_Tranche2,CAISO_Conventional_DR,0.0,,13.0,Li_Battery,,Kramer_Inyokern_Solar,,,,,198.0,13.0,31.788935421897072,7.0,2009.0,,2027.0,0.0,0.0,0.0,0.0,0.5568374181775595,2026.0,2030.0,0.75,0.25,,,,0.0,0.0,,,,,,,,,Solar PV,,Solar PV,Solar,,,PSE,NW,,,,,,,,,
14.0,CAISO_Shed_DR_Tranche3,CAISO_Conventional_DR,0.0,,14.0,Flow_Battery,,Mountain_Pass_El_Dorado_Solar,,,,,219.0,14.0,4.54237514698741,8.0,2011.0,,2028.0,0.0,0.0,0.0,0.0,0.5303213506452946,2026.0,2030.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,Solar Thermal,No Storage,Solar ThermalNo Storage,Solar,,,SPP,NW,,,,,,,,,
15.0,CAISO_Shed_DR_Tranche4,CAISO_Conventional_DR,0.0,,15.0,Hydro,,Southern_California_Desert_Solar,,,,,245.0,15.0,13.816653790394046,9.0,2011.0,,2029.0,0.0,0.0,0.0,0.0,0.5050679529955189,2026.0,2030.0,0.25,0.75,,,,0.0,0.0,,,,,,,,,Various,,Various,Other,,,TIDC,BANC,,,,,,,,,
16.0,CAISO_Shed_DR_Tranche5,CAISO_Conventional_DR,0.0,,16.0,Small_Hydro,,Riverside_East_Palm_Springs_Solar,,,,,269.0,16.0,16.348229201934195,9.0,2008.0,,2030.0,1.0,4.0,1.0,0.0,6.47555335285883,2030.0,2030.0,1.0,0.0,,,,0.0,0.0,,,,,,,,,Wind,,Wind,Wind,,,,,,,,,,,,,
17.0,CAISO_Shed_DR_Tranche6,CAISO_Conventional_DR,0.0,,17.0,Biomass,,Greater_Imperial_Solar,,,,,331.0,17.0,19.042414294328374,11.0,2011.0,,2031.0,0.0,0.0,0.0,1.0,0.4581115219914002,2030.0,2030.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,CAISO_Shed_DR_Tranche7,CAISO_Conventional_DR,0.0,,18.0,Geothermal,,Distributed_Solar,,,,,393.0,18.0,0.6642082331954519,1.0,2009.0,,2032.0,0.0,0.0,0.0,1.0,0.43629668761085727,2030.0,2030.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,CAISO_Shed_DR_Tranche8,CAISO_Conventional_DR,0.0,,19.0,Solar,,Baja_California_Solar,,,,,460.0,19.0,0.821529880389382,4.0,2011.0,,2033.0,0.0,0.0,0.0,1.0,0.41552065486748313,2030.0,2030.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,CAISO_Existing_Pumped_Storage,Pumped_Hydro,12.0,,20.0,Wind,,Utah_Solar,,,,,493.0,20.0,5.808472446034013,5.0,2011.0,,2034.0,0.0,0.0,0.0,1.0,0.3957339570166506,2030.0,2030.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,CAISO_Storage_Mandate,Li_Battery,13.0,,21.0,Customer_PV,,Southern_Nevada_Solar,,,,,505.0,21.0,15.361340378746808,5.0,2008.0,,2035.0,0.0,0.0,0.0,1.0,0.3768894828730006,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,CAISO_New_Pumped_Storage,Pumped_Hydro,0.0,,,,,Arizona_Solar,,,,,519.0,22.0,17.732850483408832,6.0,2008.0,,2036.0,0.0,0.0,0.0,1.0,0.35894236464095297,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,CAISO_New_Flow_Battery,Flow_Battery,14.0,,,,,New_Mexico_Solar,,,,,581.0,23.0,20.806656123689983,8.0,2009.0,,2037.0,0.0,0.0,0.0,1.0,0.3418498710866219,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,CAISO_New_Li_Battery,Li_Battery,0.0,,,,,Northern_California_Wind,,,,,667.0,24.0,1.1665386479004762,10.0,2008.0,,2038.0,0.0,0.0,0.0,1.0,0.3255713057967827,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,CAISO_Hydro,Hydro,15.0,,,,,Solano_Wind,,,,,675.0,25.0,12.446699002045769,11.0,2009.0,,2039.0,0.0,0.0,0.0,1.0,0.31006791028265024,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,BANC_Small_Hydro_for_CAISO,Small_Hydro,16.0,,,,,Central_Valley_North_Los_Banos_Wind,,,,,720.0,26.0,33.40138247322649,12.0,2011.0,,2040.0,0.0,0.0,0.0,1.0,0.2953027716977621,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,CAISO_Biomass_for_CAISO,Biomass,17.0,,,,,Greater_Carrizo_Wind,,,,,736.0,27.0,0.8808952577362226,1.0,2009.0,,2041.0,0.0,0.0,0.0,1.0,0.2812407349502496,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,CAISO_Geothermal_for_CAISO,Geothermal,18.0,,,,,Tehachapi_Wind,,,,,751.0,28.0,7.9222993920458755,1.0,2009.0,,2042.0,0.0,0.0,0.0,1.0,0.2678483190002377,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,CAISO_Small_Hydro_for_CAISO,Small_Hydro,0.0,,,,,Kramer_Inyokern_Wind,,,,,815.0,29.0,8.913031441463863,3.0,2011.0,,2043.0,0.0,0.0,0.0,1.0,0.2550936371430836,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,CAISO_Solar_for_CAISO,Solar,19.0,,,,,Southern_California_Desert_Wind,,,,,824.0,30.0,3.380919520975771,4.0,2008.0,,2044.0,0.0,0.0,0.0,1.0,0.24294632108865097,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,CAISO_Wind_for_CAISO,Wind,20.0,,,,,Riverside_East_Palm_Springs_Wind,,,,,837.0,31.0,9.045359453481806,4.0,2011.0,,2045.0,0.0,0.0,0.0,1.0,0.23137744865585813,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,IID_Geothermal_for_CAISO,Geothermal,0.0,,,,,Greater_Imperial_Wind,,,,,844.0,32.0,5.718364164282977,4.0,2011.0,,2046.0,0.0,0.0,0.0,1.0,0.220359474910341,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,IID_Solar_for_CAISO,Solar,0.0,,,,,Distributed_Wind,,,,,845.0,33.0,4.809717072393584,4.0,2008.0,,2047.0,0.0,0.0,0.0,1.0,0.20986616658127716,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,LDWP_Wind_for_CAISO,Wind,0.0,,,,,Baja_California_Wind,,,,,845.0,34.0,0.9033162970386379,4.0,2011.0,,2048.0,0.0,0.0,0.0,1.0,0.19987253960121634,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,NW_Biomass_for_CAISO,Biomass,0.0,,,,,Pacific_Northwest_Wind,,,,,905.0,35.0,1.7476211467504958,6.0,2011.0,,2049.0,0.0,0.0,0.0,1.0,0.19035479962020604,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,NW_Geothermal_for_CAISO,Geothermal,0.0,,,,,NW_Ext_Tx_Wind,,,,,959.0,36.0,5.8107934271960655,8.0,2008.0,,2050.0,0.0,0.0,0.0,1.0,0.18129028535257716,2030.0,2030.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,NW_Small_Hydro_for_CAISO,Small_Hydro,0.0,,,,,Idaho_Wind,,,,,1009.0,37.0,28.928340182700346,10.0,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,NW_Wind_for_CAISO,Wind,0.0,,,,,Utah_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,SW_Solar_for_CAISO,Solar,0.0,,,,,Wyoming_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,SW_Wind_for_CAISO,Wind,0.0,,,,,Southern_Nevada_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Customer_PV,Customer_PV,21.0,,,,,Arizona_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Northern_California_Solar,Solar,0.0,,,,,New_Mexico_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Solano_Solar,Solar,0.0,,,,,SW_Ext_Tx_Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Central_Valley_North_Los_Banos_Solar,Solar,0.0,,,,,InState_Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Westlands_Solar,Solar,0.0,,,,,Greater_Imperial_Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Greater_Carrizo_Solar,Solar,0.0,,,,,Northern_California_Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,Tehachapi_Solar,Solar,0.0,,,,,Pacific_Northwest_Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,Kramer_Inyokern_Solar,Solar,0.0,,,,,Southern_Nevada_Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Mountain_Pass_El_Dorado_Solar,Solar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Southern_California_Desert_Solar,Solar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Riverside_East_Palm_Springs_Solar,Solar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Greater_Imperial_Solar,Solar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Distributed_Solar,Solar,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,Solano_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Central_Valley_North_Los_Banos_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,Greater_Carrizo_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Tehachapi_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Riverside_East_Palm_Springs_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Distributed_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,NW_Ext_Tx_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,SW_Ext_Tx_Wind,Wind,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,InState_Biomass,Biomass,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,Greater_Imperial_Geothermal,Geothermal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Northern_California_Geothermal,Geothermal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
